annual_income_k,spend_score,purchase_frequency,avg_order_value,cluster
40.305,20.545,2.389,16.042,1
40.551,31.884,2.083,14.394,1
43.461,10.52,3.714,26.59,1
39.512,39.51,1.877,29.951,1
36.036,34.117,1.717,17.324,1
30.848,23.027,2.333,29.18,1
46.643,16.601,2.349,37.568,1
36.738,19.301,1.663,31.603,1
26.584,31.145,1.29,15.608,1
20.835,29.4,3.07,18.287,1
32.778,36.79,2.048,28.323,1
31.672,28.896,0.909,25.465,1
34.685,28.971,1.631,26.29,1
30.722,10.662,2.512,28.105,1
27.011,28.508,1.743,26.168,1
32.707,26.921,1.985,26.076,1
31.346,16.898,1.48,25.291,1
23.935,24.185,2.082,34.569,1
47.162,34.844,2.194,14.775,1
46.701,21.899,2.666,20.904,1
32.308,37.258,3.184,14.63,1
25.449,31.454,1.647,23.935,1
45.9,46.542,2.606,16.833,1
33.383,34.125,2.681,16.864,1
44.311,21.479,1.933,17.004,1
33.661,22.99,2.362,29.9,1
46.581,10.13,1.576,26.81,1
37.175,27.283,3.222,23.477,1
30.443,36.321,1.818,31.159,1
43.202,33.746,2.586,20.425,1
37.064,21.183,0.755,26.471,1
40.295,28.36,2.626,14.929,1
35.158,36.411,2.358,31.598,1
29.872,14.334,1.862,26.686,1
38.66,19.602,1.809,13.996,1
29.012,36.392,1.295,30.27,1
40.732,20.191,2.314,20.812,1
43.736,26.818,2.99,22.645,1
36.883,28.689,2.31,31.18,1
37.273,38.521,2.587,25.248,1
65.298,83.04,7.322,60.159,0
79.883,85.086,7.778,64.938,0
78.329,94.49,7.035,75.287,0
72.832,80.376,5.297,68.472,0
73.718,64.107,6.704,77.359,0
60.52,86.932,7.422,81.295,0
77.924,65.473,6.802,53.21,0
84.587,84.107,7.244,76.664,0
76.71,92.978,5.685,71.21,0
66.687,84.92,9.126,77.345,0
72.572,78.114,7.348,88.795,0
65.587,79.598,6.913,52.401,0
66.99,76.642,6.507,68.527,0
84.124,77.644,6.039,64.279,0
68.817,79.093,6.922,48.179,0
72.287,88.856,7.562,57.817,0
71.253,67.938,5.314,86.913,0
83.437,55.617,7.573,69.56,0
86.527,77.829,5.352,60.399,0
77.194,75.489,7.117,51.847,0
73.988,77.221,6.572,85.479,0
67.012,72.614,6.499,68.846,0
58.026,72.12,5.976,64.63,0
74.667,73.321,8.756,65.514,0
73.628,84.923,6.19,85.728,0
54.457,64.092,7.32,65.127,0
78.912,99.0,6.613,74.956,0
69.832,90.378,4.915,78.677,0
66.268,83.669,7.569,54.07,0
46.401,77.43,8.104,53.998,0
83.867,74.488,7.482,61.56,0
63.647,81.913,7.878,72.838,0
80.957,77.337,5.767,41.96,0
80.687,74.271,8.395,52.867,0
69.885,74.406,6.444,71.044,0
69.364,92.348,6.786,73.02,0
79.602,73.581,7.94,54.55,0
73.115,77.43,7.285,51.581,0
65.417,94.523,6.042,83.056,0
69.138,77.478,6.472,63.593,0
119.341,45.915,3.63,131.673,2
105.406,60.655,4.04,142.57,2
107.067,38.719,3.368,111.984,2
109.847,39.268,4.294,118.146,2
116.264,59.973,3.536,115.469,2
93.137,62.855,3.96,120.986,2
84.221,59.96,3.4,117.12,2
102.868,50.914,4.044,117.777,2
117.089,59.2,2.968,116.053,2
123.441,51.251,2.739,117.432,2
108.245,37.175,3.518,77.386,2
123.953,57.669,3.445,113.894,2
96.723,48.455,3.392,96.618,2
94.679,27.342,2.947,130.824,2
104.662,58.255,2.425,104.176,2
99.917,47.996,1.826,115.81,2
99.321,62.722,2.717,110.639,2
97.711,39.712,3.165,142.103,2
107.728,57.525,3.557,97.215,2
113.792,42.633,4.45,119.626,2
120.148,47.52,3.219,129.161,2
97.603,41.038,3.46,107.46,2
96.519,41.92,2.429,90.196,2
101.006,45.395,4.736,98.275,2
128.172,55.799,4.011,104.038,2
104.148,40.969,4.027,126.987,2
106.892,61.025,4.45,122.772,2
93.088,54.835,2.822,125.091,2
123.833,55.552,3.421,141.525,2
118.36,36.785,4.163,103.77,2
95.341,32.982,3.481,107.29,2
91.836,52.544,3.331,147.201,2
109.728,57.422,4.048,90.846,2
88.807,53.072,3.808,120.464,2
113.775,49.532,3.827,120.561,2
100.31,48.7,2.814,129.274,2
105.384,64.992,2.27,112.866,2
98.677,49.29,2.997,101.612,2
106.64,38.717,5.045,122.403,2
100.815,37.748,3.746,106.194,2
