customer_id,annual_income_k,spend_score,purchase_frequency,avg_order_value,cluster,pca_x,pca_y,centroid_distance,assignment_margin,assignment_confidence,uncertainty_label
C001,40.305,20.545,2.389,16.042,1,-2.3024037565867674,0.05518175602462282,0.39308508117024266,3.2250428852258737,0.8913567776427266,clear
C002,40.551,31.884,2.083,14.394,1,-2.132560307364927,0.21292436643701299,0.3535605660907483,3.1366261993538322,0.8986986686239091,clear
C003,43.461,10.52,3.714,26.59,1,-2.0526766803122465,0.03072054469235648,1.0550988065806879,2.4593390836757347,0.6997816323612123,clear
C004,39.512,39.51,1.877,29.951,1,-1.8250547630899743,0.1234435178938726,0.5816513241420171,2.6541647048781933,0.82024586103613,clear
C005,36.036,34.117,1.717,17.324,1,-2.20253625688532,0.1900712563355146,0.4009469893608383,3.169402478122989,0.8877009119100596,clear
C006,30.848,23.027,2.333,29.18,1,-2.257069371742284,0.0654042646215701,0.2948652460001077,3.2789008013045233,0.9174917322239105,clear
C007,46.643,16.601,2.349,37.568,1,-2.009223218064615,-0.4068108651174086,0.6811601378578825,2.5100197712032557,0.7865491268844559,clear
C008,36.738,19.301,1.663,31.603,1,-2.3463281589888307,-0.30952554714548564,0.4551085556369873,3.062551980531113,0.8706218093083105,clear
C009,26.584,31.145,1.29,15.608,1,-2.5479006264643997,0.18411020517809262,0.5828540238628288,3.3224604054253115,0.8507536244734406,clear
C010,20.835,29.4,3.07,18.287,1,-2.2768025211922436,0.6824309498914242,0.6882419991332778,2.8265790059795997,0.8041886064376769,clear
C011,32.778,36.79,2.048,28.323,1,-1.9890855159174337,0.240365529624592,0.44694123318922463,2.9043007908760665,0.8666341523591145,clear
C012,31.672,28.896,0.909,25.465,1,-2.4616543416127152,-0.16724798436360305,0.6073320275463139,3.095564141220427,0.8359845915559152,clear
C013,34.685,28.971,1.631,26.29,1,-2.2432937286310444,-0.028490091731333447,0.26855438755617417,3.2549847522160724,0.9237827715535089,clear
C014,30.722,10.662,2.512,28.105,1,-2.50950102555984,-0.11351190212018031,0.7601921591464635,3.0251314854594344,0.7991738011015939,clear
C015,27.011,28.508,1.743,26.168,1,-2.3669649912766446,0.11198188477240274,0.36878226970539285,3.3291570666628747,0.9002735750479962,clear
C016,32.707,26.921,1.985,26.076,1,-2.2515094140187824,0.05958672789708707,0.14839173623691632,3.4104564286256673,0.9583034371339508,clear
C017,31.346,16.898,1.48,25.291,1,-2.614885101977634,-0.2420391734787689,0.5676821409278839,3.226540719755973,0.850382499454561,clear
C018,23.935,24.185,2.082,34.569,1,-2.337233418627307,0.0576250879229625,0.5066791778910772,3.1590025527204357,0.8617776405245765,clear
C019,47.162,34.844,2.194,14.775,1,-1.9217330061872213,0.19445415417725237,0.5521003039436227,2.7639035386270736,0.8335043232291273,clear
C020,46.701,21.899,2.666,20.904,1,-2.0381509741726553,-0.004424796289046687,0.49291823259575335,2.871480987124733,0.8534899694107334,clear
C021,32.308,37.258,3.184,14.63,1,-1.9228211316610242,0.738115351851293,0.7019770689018462,2.441303033596908,0.7766737147148265,clear
C022,25.449,31.454,1.647,23.935,1,-2.3782885519113033,0.19668130595911698,0.4665685814221602,3.269722769187089,0.8751252143797404,clear
C023,45.9,46.542,2.606,16.833,1,-1.5708314112678519,0.5279028806441012,0.9416203679905275,1.9634966597220853,0.675875237035829,clear
