transaction_id,items
T001,"bread;milk;eggs"
T002,"bread;milk;butter"
T003,"bread;milk;eggs;butter"
T004,"bread;jam;butter"
T005,"milk;eggs;coffee"
T006,"bread;milk;eggs"
T007,"bread;milk;butter;coffee"
T008,"bread;jam;butter"
T009,"milk;eggs;coffee"
T010,"bread;milk;eggs;coffee"
T011,"bread;milk;butter"
T012,"bread;jam;butter;coffee"
T013,"milk;eggs"
T014,"bread;milk;eggs;butter"
T015,"bread;milk;coffee"
T016,"bread;jam;butter"
T017,"milk;eggs;coffee"
T018,"bread;milk;eggs"
T019,"bread;milk;butter;coffee"
T020,"bread;jam;butter;coffee"
T021,"milk;eggs;coffee"
T022,"bread;milk;eggs;butter"
T023,"bread;milk;coffee"
T024,"bread;jam;butter"
