customer_id,tenure_months,monthly_usage,support_tickets,plan,renewed
C001,3,18,5,basic,0
C002,6,24,4,basic,0
C003,8,31,3,basic,1
C004,12,40,2,pro,1
C005,15,44,1,pro,1
C006,18,52,1,pro,1
C007,21,58,0,pro,1
C008,24,61,0,pro,1
C009,27,65,1,pro,1
C010,30,70,0,pro,1
C011,33,74,0,enterprise,1
C012,36,79,0,enterprise,1
C013,4,20,6,basic,0
C014,9,35,4,basic,0
C015,13,42,2,pro,1
C016,17,49,2,pro,1
C017,20,55,1,pro,1
C018,23,60,1,pro,1
C019,26,66,0,enterprise,1
C020,29,69,0,enterprise,1
C021,32,73,0,enterprise,1
C022,35,78,0,enterprise,1
C023,11,,3,basic,0
C023,11,,3,basic,0
