customer_id,snapshot_date,tenure_months,monthly_spend,support_tickets_90d,plan,churned,churn_confirmed_at,internal_note
C0001,2025-01-02,10,62.06,5,pro,1,2025-01-07,
C0002,2025-01-03,17,79.64,0,enterprise,0,,
C0003,2025-01-04,24,96.05,2,basic,0,,
C0004,2025-01-05,31,113.61,4,pro,0,,
C0005,2025-01-06,38,130.52,1,enterprise,0,,
C0006,2025-01-07,45,147.56,3,basic,0,,
C0007,2025-01-08,7,,7,pro,1,2025-01-13,
C0008,2025-01-09,14,181.44,0,enterprise,0,,
C0009,2025-01-10,21,198.95,4,basic,0,,
C0010,2025-01-11,28,55.31,6,pro,0,,
C0011,2025-01-12,35,72.53,2,enterprise,0,,manual cancellation approved
C0012,2025-01-13,42,89.8,5,basic,0,,
C0013,2025-01-14,4,106.86,7,pro,1,2025-01-19,
C0014,2025-01-15,11,123.45,3,enterprise,0,,
C0015,2025-01-16,18,140.45,6,basic,0,,
C0016,2025-01-17,25,157.15,0,pro,0,,
C0017,2025-01-18,32,174.27,5,enterprise,0,,
C0018,2025-01-19,39,191.37,6,basic,0,,
C0019,2025-01-20,46,48.61,2,pro,1,2025-01-25,
C0020,2025-01-21,8,65.43,4,enterprise,1,2025-01-26,
C0021,2025-01-22,15,82.94,0,basic,0,,
C0022,2025-01-23,22,99.64,4,pro,0,,
C0023,2025-01-24,29,116.11,6,enterprise,0,,
C0024,2025-01-25,36,133.27,1,basic,0,,
C0025,2025-01-26,43,150.39,3,pro,0,,
C0026,2025-01-27,5,167.19,0,enterprise,0,,
C0027,2025-01-28,12,184.29,3,basic,0,,
C0028,2025-01-29,19,201.6,4,pro,0,,
C0029,2025-01-30,26,58.3,0,enterprise,0,,
C0030,2025-01-31,33,75.56,4,basic,0,,
C0031,2025-02-01,40,92.42,6,pro,0,,
C0032,2025-02-02,47,109.35,0,enterprise,0,,
C0033,2025-02-03,9,126.67,5,basic,1,2025-02-08,
C0034,2025-02-04,16,143.95,7,pro,1,2025-02-09,
C0035,2025-02-05,23,160.56,3,enterprise,0,,
C0036,2025-02-06,30,177.05,5,basic,0,,
C0037,2025-02-07,37,194.85,1,pro,0,,
C0038,2025-02-08,44,51.47,4,enterprise,1,2025-02-13,
C0039,2025-02-09,6,68.81,6,basic,1,2025-02-14,
C0040,2025-02-10,13,85.02,1,pro,0,,
C0001,2025-01-02,10,62.06,5,pro,1,2025-01-07,
